text,images,compensation,link,address,date,type
Facility Survey Technician,,Wage based upon experience and ability.  Starts at $20 per hour,https://sfbay.craigslist.org/sby/egr/d/san-jose-facility-survey-technician/6989682088.html,"
        ,
Facility Survey Technician,
MetaBIM, Inc. is an established Internet facilities database company located in Scotts Valley, CA.  We currently have a position available for facility survey and building equipment documentation work.,
The work primarily involves physically accessing and measuring spaces and documenting existing conditions with drafting software in real-time utilizing mobile computing hardware.   Additionally, the position will require the identification and documentation of common building equipment and fire / life safety systems.  ,
We are seeking a professional, qualified, and goal oriented candidate for this position.  The job would entail working 5 days and 40 hours per week and would require reliable transportation to our client’s locations.  This position would be ideal for an entry-level architecture or engineering college graduate seeking experience in civil engineering or for an experienced survey technician/engineer already familiar with various facility systems, such as HVAC, Plumbing, Electrical, Telecom, and Fire & Life Safety.  While limited work may be done in the office, the majority of the work will need to be completed in the field.,
,
The successful candidate will have an aptitude for computers with extra consideration given for knowledge and experience using databases and IT systems. Also, the successful candidate is one who is a motivated self-starter with the ability to work in a group environment as well as autonomously. Candidate must be able to complete projects accurately and on time.  Furthermore, strong interpersonal skills and a high attention to detail are also required.  Education and/or experience with BIM and Revit also a plus but is not required.  We are seeking applicants whom have education and / or work experience with any of the following disciplines:,
,
• Field Surveying ,
• AutoCAD & Drafting ,
• Facilities Management ,
• Architecture ,
• Engineering ,
• Construction Industry,
,
Compensation is commensurate with experience and ability.  If you’d like to apply for this position, please email your resume and cover letter to us at the provided email address.  Background check is required.,
,
Thank you for your interest.  MetaBIM, Inc. is an Equal Opportunity Employer.,
    ",2019-09-30 09:53,full-time
Maintenance Engineer,,55k-66k annually DOE,https://sfbay.craigslist.org/nby/egr/d/santa-rosa-maintenance-engineer/6989848390.html,"
        ,
We are on the hunt for a skilled and reliable maintenance engineer to join our team. You will be responsible for all upkeep and repair duties including maintaining green spaces, identifying the need for repairs, responding to our clients maintenance requests, and servicing company equipment. The maintenance needed is located on school grounds, therefore, professionalism is required. ,
,
Mon-Fri 8am-5pm,
Occasional on call duties,
Salaried Employee,
One week paid vacation,
,
,
***BACKGROUND CHECK AND DRUG TEST REQUIRED***    ",2019-09-30 12:53,full-time
UX + UI Designer,,,https://sfbay.craigslist.org/sfc/egr/d/redwood-city-ux-ui-designer/6989853858.html,"
        ,
,
,
,
,
,
,
,    ",2019-09-30 13:00,
Research Assistant or Engineering Technician: Off-grid Energy Access,,"$22.23-$24.51 per hour, benefits include medical, dental, vision, and life coverage",https://sfbay.craigslist.org/eby/egr/d/arcata-research-assistant-or/6990021324.html,"
        ,
The energy access team at the Schatz Energy Research Center is seeking a research assistant or engineering technician for the off-grid solar products testing laboratory and to assist with administrative and research tasks for our off-grid energy access team and the Lighting Global Quality Assurance program. This is a full-time, benefited position based in Arcata, CA. Applications are being accepted now through October 30th.,
,
Please visit the Schatz Center website for additional information: ,
,
Background,
The Schatz Center’s off-grid solar and lighting laboratory research focuses on technical issues related to the performance and quality of modern off-grid solar products that are used by people living in off- or weak-grid areas of sub-Saharan Africa, South Asia, and the wider developing world. These technologies play an important role in increasing energy access for the more than 1 billion people living without reliable grid electricity. The Schatz Center is also the technical lead for the Lighting Global Quality Assurance program, which provides third-party verification and market support for off-grid solar products.,
,
Duties and responsibilities,
-Assist with communications to off-grid solar product manufacturers,
-Review program documents, policies, reports, and spreadsheets,
-Conduct data entry, data clean-up and analysis of program data,
-Collaborate with other members of the Lighting Global team to contribute to programmatic decisions,
-Help conduct performance tests for solar-powered products for off-grid applications,
-Carry out instrument calibrations and technical tasks associated with ensuring the accuracy of laboratory test results,
-Analyze test data and both write and review reports associated with laboratory activities,
-Develop and review standard operating procedures (SOPs) for test methods,
-Assist with desk research regarding quality standards and energy access,
-Prepare quarterly programmatic monitoring and deliverables memos/reports,
-Perform other tasks to assist the test lab and quality assurance program, as necessary,
The activities of the selected applicant may vary depending on the person’s skills and experience. Additionally, this position may involve opportunities for international travel depending on the project’s budget and team needs. ,
,
Minimum Qualifications:,
,
-Eligible candidates should be PC literate and able to skillfully use Word and Excel, be detail-oriented, have excellent communication, writing, and organizational skills, and possess a technical background or interest to learn technical skills. ,
,
Desirable Qualifications (note that candidates are not expected to have qualifications in all of the listed areas):,
,
-A bachelor’s degree in a relevant field,
-Excellent technical writing skills,
-Ability to be creative and flexible to adapt to an ever-evolving program,
-Customer service or professional online/phone communications experience,
-Experience with research, data analysis, and/or policy development,
-Experience with electronics design, fabrication, and/or testing ,
-Laboratory experience (laboratory measurements using electronic instrumentation, data analysis, record keeping, calibration, etc.),
-Experience with solar energy, rechargeable batteries, and/or efficient lighting systems,
-Experience teaching or conducting technical trainings,
-Experience working with an international team,
-Ability to travel for extended periods up to 5 weeks, including internationally,
-Experience with and knowledge of social issues in the developing world, particularly in Africa and Asia,
-Language skills relevant to the work in Africa and Asia, such as French, Chinese, Swahili or Hindi,
,
Application procedure,
Applicants should submit (i) a letter of application, (ii) a one-page resume, and (iii) an HSU SPF Employee Information Form for Applicants to the Schatz Center via email. Please visit the Schatz Center website for full application information: ,    ",2019-09-30 16:48,full-time
Industry Professionals: Transition to Teaching with EnCorps,,"Teacher training program in fall/spring, full-time paid teaching in partner school by fall 2020",https://sfbay.craigslist.org/pen/egr/d/redwood-city-industry-professionals/6990044186.html,"
        ,
,

,

,

,

,
,
  ,

,
,    ",2019-09-30 17:28,full-time
Ice Machine designer,,We will discuss,https://sfbay.craigslist.org/sfc/egr/d/san-leandro-ice-machine-designer/6990169351.html,"
        ,
I need someone with the knowledge to design and put together a commercial Ice machine, with parts and distributors knowledge. Turnkey,
,
We will build a prototype and get it ready for distribution/,
,
Everett 5106665561 East Bay    ",2019-10-01 01:30,contract
Senior Land Surveyor,,Depending on experience.,https://sfbay.craigslist.org/eby/egr/d/walnut-creek-senior-land-surveyor/6990452820.html,"
        ,
,


,
,
,
,
,
 ,
  ,
,
,    ",2019-10-01 10:32,full-time
Design Intern for Design Build Company,,depending on education and experience,https://sfbay.craigslist.org/eby/egr/d/oakland-design-intern-for-design-build/6990510885.html,"
        ,
Canyon Design Build is seeking a Design Intern to provide support to the owners and design team. You will gain exposure to all areas of a high-end design build firm and will have the opportunity to participate with designers in active projects as well as assist with the day-to-day functions of the business. This is a fantastic learning opportunity at a dynamic firm for those in the early stages of their career and is a paid position. ,
,
Duties and Responsibilities ,
• Maintain an organized design library ,
• Product sourcing, mood and image boards ,
• Obtaining estimates and quotations from vendors on design elements ,
• Assist the designers in scheduling and purchase orders,
• Filing of purchase orders and client records ,
• Provide assistance at job sites and photoshoots,
• Provide assistance to marketing department as needed,
• Run miscellaneous errands as needed ,
• Assist in day to day maintenance of the office ,
• Support the founder, principals and design team in all related tasks as needed ,
,
Other duties as assigned Requirements ,
• Preferably a student who is in the senior year of study or one who has recently graduated ,
• Able to work a minimum of 24 hours per week or up to 40 hours – preferably a full-time position  ,
• Must be professional, reliable and able to take direction well ,
• Strong organizational skills with careful attention to detail ,
• Ability to work within a team and proactively create harmonious and professional relationships ,
• Knowledge of Microsoft Office Suite ,
• Knowledge of AutoCAD, 3D rendering programs and other design related software a huge plus ,
• Excellent written and verbal communication skills ,
,
This is a paid internship. You must have a current and valid student/work visa. This internship is located at our office in Oakland, CA. Office hours are Monday-Friday, 8:30 to 5:00 pm but we are flexible with school hours.,
,
    ",2019-10-01 11:34,employee's choice
Architectural Job Captain (Revit),,Competitive Pay + Benefits,https://sfbay.craigslist.org/nby/egr/d/architectural-job-captain-revit/6990528019.html,"
        ,
Building Solutions, a Design / Build Firm in San Rafael, is looking for a talented design professional to manage construction documentation and architectural deliverables for high-end residential design projects from schematic design through construction administration. ,
,
This position will be integral to the success of the project and will participate in every aspect of the design development process including client interface, entitlements, and specification.,
,
Must have strong Revit skills. This is a 100% Revit position. Must be able to write in a professional manner and communicate effectively and efficiently with all project partners, including consultants, pre-construction staff, field staff, municipalities, and especially clients. ,
,
This is an excellent opportunity for design professionals to work with high-end costing and construction experts to deliver a fully integrated product in a relaxed and congenial atmosphere. ,
,
Experience Required:,
,
• Expertise in REVIT (2016 Minimum, 2018.2 Preferred) with strong experience working with families, detailing, and work sharing,
,
• Proficiency in legacy applications with emphasis in AUTOCAD 2012 or higher - including proper layer management, setting up sheets and plotting,
,
• Preferred Education: BA in Architecture, or equal experience,
,
• Minimum 5 years of Architectural Drafting Experience,
,
• Strong knowledge of wood frame construction principles and details to include foundation systems, electrical, mechanical, and plumbing systems,
,
• Experience working with Marin County and San Francisco Planning/ Building departments and their permitting protocols,
,
• Knowledge of building components and construction methods and the ability to represent them in a variety of CAD/BIM applications,
,
This is a full-time, 40 hour per week + benefits position. ,
,
**Please submit your resume in PDF format for consideration**,
,
We're looking forward to receiving your resume and pdf examples of your work with a cover letter attached.,
,
Please note: We are accepting candidates who reside in the counties of Marin, Sonoma, San Francisco, Alameda, and Contra Costa.,
    ",2019-10-01 11:52,full-time
Interior Designer,,55k-60k,https://sfbay.craigslist.org/nby/egr/d/san-rafael-interior-designer/6990529443.html,"
        ,
Building Solutions is a Design-Build Firm based in San Rafael, is looking for a qualified Interior Designer to join our growing team. As a Design-Build firm, we specialize in engineering, architecture and construction services. We believe that the way we work can add meaning and value to the construction world; that creative ideas can inspire positive change; that coloring outside the lines can illuminate fresh perspectives. And that small details yield important realizations. Above all, we believe that collaboration is the best way forward. For an Interior Designer, this is a unique opportunity to be a part of a creative team where you can grow and contribute to our fast-paced environment. This position will be integral to the success of the project and will participate in every aspect of the design process including client interface, procurement and estimation.,
,
,
This is an excellent opportunity for design professionals to work with high-end costing and construction experts to deliver a fully integrated product in a relaxed and congenial atmosphere.,
,
,
Responsibilities,
,
-Participate extensively in all phases of interior architectural projects and their management,
-Interface consistently and proactively with clients to ensure a smooth project delivery from inception to closure,
-Manage client expectations, and coordinate team and consultant communications,
-Participate in selection of furniture systems and specifications along with construction administration of projects and review of submittals and finish samples,
-Serve as our primary contact with clients/consultants and public agencies on all assigned projects,
-Provide project team coordination on design matters, specifications, and material selections required for construction ,
-Select interior details, materials, color selections, furniture and furnishings lighting design, space -planning, and detailing,
-Prepare design presentations including sketches and material boards, working drawings and specifications. ,
-Manage client design process,
-Perform other duties as needed,
-Collaborate with subcontractors to share design and construction expertise in order to create inventive, well-crafted environments,
-Develop space planning concepts working with drafters,
-Work with consultants, contractors, fabricators, specification writers, and regulatory agencies to meet overall project objectives,
,
Job Requirements,
Qualifications,
,
3-5 years experience in interior and exterior design,
Strong knowledge of the design process, including FF&E, furniture systems and specifications, color and materials,
Proficiency with Microsoft Office including Excel.,
Experience with Revit a plus (but not a necessity),
Ability to communicate design ideas effectively,
Confidence in one’s own understanding of aesthetics,
Gracious, internally motivated and self-starter with a high level of professionalism ,
Bachelor's degree in Interior Design or related field,
,
*Please submit your resume in .pdf format for consideration    ",2019-10-01 11:54,full-time
Earn up to $18/hr! Deliver with Grubhub - Apply now!,,Per order fee + mileage + 100% tips,https://sfbay.craigslist.org/nby/egr/d/santa-rosa-earn-up-to-18-hr-deliver/6990545904.html,"
        ,

        ,
    ",2019-10-01 12:13,contract
SOM Project Administrator – Mandarin Speaking,,Salaried,https://sfbay.craigslist.org/sfc/egr/d/san-francisco-som-project-administrator/6990667951.html,"
        ,
*INTERESTED APPLICANTS MUST APPLY VIA ,
,
SOM, one of the most influential design firms in the world, is seeking innovative, creative, independent, and critical thinkers who aspire to the highest standards of excellence. Join our collaborative design practice as a Project Administrator for the opportunity to build a strong and thriving career.  You will be a key administrative team member on multiple projects focused primarily in Asia. ,
,
Duties and Responsibilities ,
,
Prepare, review and translate project memos, correspondence, technical documents, contracts and schedules for professional services; communicate daily with team.,
Contribute to SOM’s vision by enabling clear communication among team members, consultants and clients.  Promote professional relationships internally and externally.,
Manage and coordinate multiple schedules, both individual and project specific.,
Initiate and coordinate team travel arrangements.,
Perform various support duties for the studio, including calendar management and overtime needs.,
Schedule client meetings and assist with set up, including Web Ex Meetings and videoconference’s.  Record meeting minutes and document action items.,
Identify, organize and implement administrative projects independently in accordance with deadlines.,
Serve as a point of contact for clients, external consultants and vendors.,
In conjunction with Project Manager and Project Architect, prepare appropriate billings and pursue payment compliance.,
Maintain and update project records to ensure organized and recoverable data (in various mediums including hard copy project files, network drives etc.) as needed.,
Dedicate the necessary time beyond routine hours (as required, including last minute needs) to assist in meeting business commitments.,
Qualifications,
,
Ability to read, write and speak fluent Mandarin Chinese and English is required.,
A highly professional, creative and committed individual with proven technical and organizational skills.,
A proven work ethic and the ability to anticipate needs, service clients, initiate decisions and coordinate the activities of others.,
3+ years professional work experience in an office environment working with and as part of a team, preferably in a professional services organization.,
Prior financial, accounting or bookkeeping experience.,
Strong command of Microsoft Office programs, including Word, Excel, PowerPoint and Project.,
Strong proofreading and attention to detail skills.,
Exceptional written and communication skills,
Bachelor’s degree desirable.,
Prior experience working with an architecture, engineering or construction firm highly desirable.,
At SOM, we welcome and encourage diversity in the workplace. We believe an inclusive environment benefits our employees, our firm, and our community, while also enriching and challenging our own thinking about design. We are proud to be an equal opportunity and affirmative action employer.  Visit this page to learn more about SOM's employment policy and how to apply offline: www.som.com/employment_opportunities_and_policy,
 ,
,
For more about SOM:  www.som.com [For external posts only if possible],
,
Portfolios must be submitted for all design positions (Architecture, Interiors, Planning, etc). Applications without work samples will not be reviewed.  Portfolios should be one PDF attachment, 10-20 pages, maximum 5 MB. Submit portfolios as part of your application in the section where the application asks you for your Resume or CV.    ",2019-10-01 14:43,full-time
Drafter/Designer,,$18-$20 per hour,https://sfbay.craigslist.org/eby/egr/d/berkeley-drafter-designer/6990725919.html,"
        ,
FB Design Build is looking for a Drafter/Designer to join us working full or part time in an architecture/construction environment.,
,
We are looking for a motivated individual to become part of our design team in the office. Our firm is small, so the candidate's role will include a wide array of responsibilities and opportunities. The candidate will experience the life cycle of an entire project from beginning to end.,
,
Job Duties:,
field measuring, production drafting,
product research, design development, detailing,
coordinating with consultants/subcontractors,
construction administration and,
working directly with clients.,
,
Qualifications:,
Knowledge of California Building Code Standards, wood frame construction, and dealing with City Agencies is a plus,
Ability to work efficiently on multiple projects, set priorities and maintain schedules,
Communicate effectively both orally and in writing,
Be proficient in Vectorworks or AutoCad, Sketchup, Adobe CS and Microsoft Office.,
Good References,
,
Benefits include: full time work, if desired; good pay, 401K, tax-free health insurance including Dental, and other company perks,
,
Every employee is important to us and valued. Customer satisfaction comes before profit.You will be able to enjoy your work and have the opportunity to learn and grow. With over 30 years experience and over 500 completed projects, our name is trusted, and our high quality of work is something you can be proud of.,
,
Most of our projects are from word-of-mouth, a testament to our client satisfaction and quality of building. As a Design/Build firm, we truly embody the concept of ""team."" All of our employees collaborate on each project, from architects and project managers in the office, to a group of talented builders in the field. We have developed lasting relationships with specialty subcontractors and highly skilled tradespeople. This approach allows us to directly ensure quality throughout all stages of the project.,
,
If you are interested, please send your resume with references and a portfolio pdf (no bigger than 5 MB) to: marcie @fbdesignbuild.com,
    ",2019-10-01 16:07,employee's choice
Transportation Research - Apply Now,,More information will be provided,https://sfbay.craigslist.org/sby/egr/d/mountain-view-transportation-research/6990739917.html,"
        ,
,    ",2019-10-01 16:30,contract
Industrial Engineer,,Up to US$0.00 per year,https://sfbay.craigslist.org/pen/egr/d/palo-alto-industrial-engineer/6990762782.html,"
        ,

        ,
    ",2019-10-01 17:10,
Project Architect-Santa Rosa,,Negotiated,https://sfbay.craigslist.org/nby/egr/d/project-architect-santa-rosa/6991079115.html,"
        ,
Santa Rosa architectural firm seeks a Project Architect with minimum 3 years experience with commercial, tenant improvement and multi-family residential projects.   Responsibilities include schematic design, construction documents, contract administration and client/consultant coordination.  Applicants must have AutoCAD experience.  Sketch-up, Photoshop, rendering skills a plus.,
,
Salary to be commensurate with experience.  Benefits will be negotiated as part of salary package.,
,
Please forward resume, references and sample of work via e-mail.,
    ",2019-10-02 08:46,full-time
Mechanical/ Fire Sprinkler Engineer,,To be determined,https://sfbay.craigslist.org/pen/egr/d/south-san-francisco-mechanical-fire/6991239405.html,"
        ,
Job Title:  Mechanical/ Fire Sprinkler Engineer,
Req Type:  Full time,
Work location:  South San Francisco,
,
,
Our Office is currently seeking a Mechanical/ fire sprinkler Engineer to join our team. Candidate will be responsible for creating fire sprinkler plans, engineering and calcs. Position will also prepare variations and changes to current design drawings. Our company specializes new single family, multi-family residential, and commercial design. Must be proficient in AutoCAD,
,
Key responsibilities.,
Note: Key responsibilities of this position include, but are not limited to the following:,
•	Research and analyze customer design proposals, specifications, manuals, and other data requirements of designs or applications.,
•	Walking job sites with foreman to design fire sprinkler system.,
•	Plan submittal to agency who has jurisdiction.,
•	Submittal of fire flow to city jurisdiction.,
•	Contacting general contractors to obtain all necessary documents and plans to design fire sprinkler systems.,
•	Proficiency in AutoCAD, Word, Excel, PDF.,
•	Use AutoCAD to develop designs and drawings.,
•	Produce outline designs, drawings and documents using AutoCAD/Modeling Software.,
•	Ability to work on conceptual design layout, prototyping, fixture/tooling design.,
•	Responsible for planning, scheduling, conducting and coordinating the technical details of the projects.,
•	Assist in the preparation of project proposals for customers.,
•	Learn how to present work and conduct themselves in a professional setting.,
•	Assisting staff on a variety of projects.,
•	Coordinating with multiple disciplines and working in conjunction with project managers and foreman to help complete assigned tasks.,
,
Qualified Professional will have:,
,
•	Preferably maintaining a degree in Mechanical/Fire sprinkler engineering.,
•	Strong interpersonal and communication skills essential for team-based working.,
•	Strong organizational skills with ability to effectively shift attention between multiple projects.,
•	Perform other job-related job duties as assigned.,
    ",2019-10-02 11:34,full-time
Earn up to $18/hr! Deliver with Grubhub - Apply now!,,Per order fee + mileage + 100% tips,https://sfbay.craigslist.org/nby/egr/d/santa-rosa-earn-up-to-18-hr-deliver/6991273851.html,"
        ,

        ,
    ",2019-10-02 12:13,contract
Architecture Firm Seeks Experienced Project Architect,,tbd,https://sfbay.craigslist.org/sfc/egr/d/san-francisco-architecture-firm-seeks/6991330114.html,"
        ,
Stanton Architecture, a thirty-five-year-old, nationally-acclaimed firm, is looking for an experienced Project Architect to work on a variety of projects including hospitality, mixed-use residential, and commercial buildings. ,
,
Candidates are expected to lead or assist in the research, development, production, and delivery of construction documents, should be able to take a strong lead in the development of various project types simultaneously, and be able to express design intent quickly in SketchUp or Revit.,
,
Advanced Revit and other technical knowledge a plus.,
,
Qualifications:,
,
Required Experience: (Applicant must meet these requirements to be considered),
•	Accredited Bachelor or Master of Architecture Degree,
•	Minimum 4-5 years of post-graduate experience in an architectural office,
•	Actively seeking licensure, if not already licensed to practice in the State of California,
•	Advanced knowledge of AutoCAD, Revit, SketchUp and Adobe products,
•	Experience in the organization, production, and review of design drawing packages, presentation materials, project scheduling, cost analysis research, and construction administration,
•	Ability to work with other team members to provide thoughtful design solutions, participate in public agency approvals, code research, specification skills, and knowledge of current construction practices,
•	Strong verbal, written, and graphic communication skills for conducting or assisting in client and consultant meetings,
We offer competitive salary with benefits. Our benefits package includes medical coverage, dental coverage, life insurance and a 401k plan. ,
,
Our office is looking for another friendly, hard-working, fun person to join our team.,
,
Resumes must be emailed.,
ATTENTION:  Rachel Moore,
No phone calls or faxes please. ,
(Please send resumes in Word or PDF format),
,
www.stantonarchitecture.com,
,
    ",2019-10-02 13:19,full-time
Architect/Architectural Designer,,Salary commensurate with experience,https://sfbay.craigslist.org/eby/egr/d/truckee-architect-architectural-designer/6991332733.html,"
        ,
JOB DESCRIPTION,
Ward-Young Architecture and Planning, is seeking a talented, qualified Architect/ Architectural Designer with strong design and organizational skills to join our Truckee, California based studio. Our Truckee office specializes in high-end residential, commercial, and civic projects in the Lake Tahoe region.  Ward-Young Architects offers a comprehensive benefit package including medical, dental, 401K, paid holidays, and paid time off. We support continuing education and professional development of our staff, including AXP program and pursuit of licensure. ,
,
DUTIES WILL INCLUDE: ,
•	Support the design team in all areas of architectural design: conceptual design and presentation, design development, construction documentation, construction administration, and permitting and entitlements. ,
•	Produce designs, drafting, 3D models, and renderings. ,
•	Prepare accurate and coordinated documents with the project team and consultants.,
•	Provide support during the construction phase.,
•	Have the ability to work on a variety of projects simultaneously.,
•	Research codes and materials. ,
•	Agency processing.,
,
QUALIFICATIONS,
•	Bachelor’s Degree in Architecture or higher. ,
•	3D modeling, visualization & presentation skills. ,
•	Minimum of 5 years full-time experience in an architectural office.,
•	Knowledge of applicable building codes, accessibility, code research, and permit coordination. ,
•	Proficiency in REVIT and Adobe Creative Suite. ,
•	Self-motivated, energetic, and organized, with strong graphic skills. ,
•	Strong communication and collaboration skills. ,
•	Salary commensurate with experience.,
,
HOW TO APPLY,
Please submit your resume, portfolio, and samples of work demonstrating your design ability and interests.    ",2019-10-02 13:22,full-time
Earn up to $18/hr! Deliver with Grubhub - Apply now!,,Per order fee + mileage + 100% tips,https://sfbay.craigslist.org/nby/egr/d/santa-rosa-earn-up-to-18-hr-deliver/6991998812.html,"
        ,

        ,
    ",2019-10-03 12:16,contract
HVAC Design Engineer,,commensurate to experience,https://sfbay.craigslist.org/eby/egr/d/hvac-design-engineer/6991931959.html,"
        ,
HVAC Designer/Engineer/Drafter,
,
    Design HVAC layout for commercial and industrial buildings.,
    Prepare HVAC drawings, mechanical Title 24 calculations, and equipment specifications for City building permit submittal.,
    Perform site surveys.,
    Respond to City Plan Check comments and construction administration items as they arise.,
    Coordinate with other disciplines (architect, structural, civil and electrical engineers).,
,
Requirement,
,
    5 years of experience in job offered,
    Should be well versed in Autocad,
,
About Us:,
,
M+R Engineering Consultants, Inc. is a young and dynamic professional corporation providing complete mechanical, electrical and plumbing engineering services for the design and construction industry.  Our firm is based in the Silicon Valley in California and provides services throughout the San Francisco Bay Area.,
,
Our Services Includes Submittal Drawings and Calculations for:,
-Mechanical Engineering: Heating, Ventilation, Air Conditioning,
-Electrical Engineering: Power, Lighting, Photometrics Calculation, Fire Alarm System,
-Plumbing Engineering: Water, Sanitary, Storm Systems,
    ",2019-10-03 11:01,full-time
Principal Geotechnical Engineer,,Excellent salary and benefits commensurate with experience.,https://sfbay.craigslist.org/sby/egr/d/san-jose-principal-geotechnical-engineer/6992605205.html,"
        ,
Job Description: Ninyo & Moore has an immediate opening for a Principal Geotechnical Engineer in our San Jose, CA office. The Principal Geotechnical Engineer will direct, review, and oversee small to large private and public projects. The successful candidate will mentor junior staff; provide leadership, maintain client relationships; assist in marketing/business development; provide ongoing training to engineering staff; provide direction and review of engineering work products; and review and sign geotechnical proposals and reports.,
,
Education: PE, M.S. in Geotechnical Engineering required.,
,
Required Skills: The successful candidate should be a licensed professional engineer in California with over 10 years of experience with a geotechnical consulting firm performing duties described above. A well-rounded background in geotechnical engineering, strong work ethic, excellent interpersonal and leadership skills, and a track record of successful client relationships and service are required. Candidate should have a thorough understanding and knowledge of geotechnical engineering. The ideal candidate will have work experience with construction and earthwork activities. Candidate should have excellent interpersonal, verbal and written communication skills, positive attitude, and excellent problem solving skills.,
,
Status: Full-Time,
,
Location: San Jose, CA,
,
Reference ID: PGE-SJ,
,
To apply, click or copy link into browser:  ,
,
Note: please include job reference id in subject line of job application,
    ",2019-10-04 10:09,full-time
Earn up to $21/hr! Deliver with Grubhub - Apply now!,,Per order fee + mileage + 100% tips,https://sfbay.craigslist.org/eby/egr/d/oakland-earn-up-to-21-hr-deliver-with/6994074769.html,"
        ,

        ,
    ",2019-10-06 14:34,contract
Inspector / Estimator,,Starting hourly rate - $29.00,https://sfbay.craigslist.org/eby/egr/d/martinez-inspector-estimator/6994426606.html,"
        ,
SUMMARY OF POSITION,
This position includes both conducting site inspections as well as preparing abbreviated construction estimating for commercial and residential buildings.,
,
CLM Group inspectors conduct intermittent on-site inspections for construction including commercial and residential projects. Inspectors review project progress compared to request for funds drawn and report observations and assessments to Lender and Borrower. Inspectors assess compliance loan requirements with regard to site and supply conditions.,
,
CLM Group estimators provide parallel estimate generation and review for construction lenders. We use RS Means estimating software. Estimators create reports using standard templates.,
,
ESSENTIAL FUNCTIONS,
,
Inspections:,
• Perform inspections including creating digital photo series,
• Present inspection findings in standard report format,
• As necessary, cut or reduce draws and document details in inspection report,
• Conduct effective site visits including the ability to resolve issues or conflicts,
• Ability to communicate with borrower, contractor and lender for clarification, questions or to resolve issues,
• Update parties of potential issues, Change Orders etc.,
• Conduct on site project closeouts,
• Schedule inspections to maximize time and travel,
• Coordinate inspection travel details (car rental, air reservations),
,
Estimating:,
• Utilize estimating software to create parallel abbreviated estimates for construction projects,
• Utilizing standard templates create formal written Cost Review documents,
,
The Estimator /Inspector position requires that the following minimum qualifications necessary to perform the types of project inspections performed by CLM Group.,
,
,
QUALIFICATIONS,
• A broad understanding of construction processes,
• A broad knowledge of construction terms,
• Knowledge of construction site safety practices,
• Ability to analyze problems, troubleshoot and ask questions.,
• Attention to detail,
• A broad knowledge and skill set for digital photography and processing,
• Excellent interpersonal communication skills, patience, diplomacy, and tact.,
• Ability to write clearly and consistently,
• Ability to have effective interactions with contractors and owners,
• A valid California Driver's License,
• Ability to work independently as well as in a team, and manage multiple projects in a very fast-paced, performance-oriented environment. ,
• Proficient in Microsoft Excel and Word.,
• Flexibility and ability to learn new processes and methods.,
,
PHYSICAL REQUIREMENTS OF THE POSITION,
• Must be able to use computer, mouse, keyboard, and phone for extended periods of time. ,
• Must be able to drive for extended periods of time.,
• Must be able to bend, kneel, and reach on regular basis.,
• Must be able sit or stand for extended periods. ,
• Must be able to climb stairs up to five stories,
• Must be able to walk on ungraded land ,
• Must be able to work outside in adverse weather conditions for limited amounts of time,
• Ability to carry/move objects that may weigh up to 25 lbs.,
,
,
DISCLAIMER,
The preceding job description has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of the employees assigned to this job. ,
,
,
CLM Group is an equal opportunity employer and does not discriminate against any employee or applicant for employment because of race, color, ethnic background, religion, gender identity, gender expression, sexual orientation, age, national origin or disabilities. Please let us know if you need accommodations for the interview process.,
    ",2019-10-07 08:01,full-time
Laser Template/Slab Template,,DOE,https://sfbay.craigslist.org/nby/egr/d/rohnert-park-laser-template-slab/6994547645.html,"
        ,
Immediate opening for a Laser Template Technician in the Construction field.  ,
,
Necessary requirements:  ,
Attention to Detail,
Excel, Outlook, intermediate computer experience,
Clean drivers license,
Own vehicle,
Must be able to multi-task,
,
Bonus Attributes:,
Construction experience,
CAD experience,
Bilingual,
,
We offer competitive pay, health benefits, etc.  Pay depends on experience.    ",2019-10-07 10:07,full-time
Structural Analysis needed. Work from home. Seasonal,,per hour or per project. TBD,https://sfbay.craigslist.org/sfc/egr/d/san-francisco-structural-analysis/6994658396.html,"
        ,
1. You will be working from home.,
2. This is a seasonal job.,
3. Very good if you have experience in telecommunications.,
4. When you reply via email, please provide a phone number to call you back. ,
,
,
Scope of Work:,
,
We need to verify that the existing building framing and supports can bear the load of antennas and radio units.  If this cannot be completed with the information that we have, structural mapping will be needed.  Once we have the structural mapping it will be incorporated into the analysis.,
,
If the analysis fails, a structural modification design will need to be completed, showing what enforcement will need to be completed before we add an additional load.,
,
,
,
    ",2019-10-07 12:03,employee's choice
Earn up to $18/hr! Deliver with Grubhub - Apply now!,,Per order fee + mileage + 100% tips,https://sfbay.craigslist.org/nby/egr/d/santa-rosa-earn-up-to-18-hr-deliver/6994670302.html,"
        ,

        ,
    ",2019-10-07 12:16,contract
Earn up to $17/hr! Deliver with Grubhub - Apply now!,,Per order fee + mileage + 100% tips,https://sfbay.craigslist.org/eby/egr/d/antioch-earn-up-to-17-hr-deliver-with/6994675367.html,"
        ,

        ,
    ",2019-10-07 12:22,contract
Earn up to $22/hr! Deliver with Grubhub - Apply now!,,Per order fee + mileage + 100% tips,https://sfbay.craigslist.org/eby/egr/d/fremont-earn-up-to-22-hr-deliver-with/6994675500.html,"
        ,

        ,
    ",2019-10-07 12:22,contract
